"city_id","city_TWname","city_ENname","town_id","town_TWname","town_ENname"
"A","臺北市","Taipei City",100,"中正區","Zhongzheng Dist."
"A","臺北市","Taipei City",103,"大同區","Datong Dist."
"A","臺北市","Taipei City",104,"中山區","Zhongshan Dist."
"A","臺北市","Taipei City",105,"松山區","Songshan Dist."
"A","臺北市","Taipei City",106,"大安區","Daan Dist."
"A","臺北市","Taipei City",108,"萬華區","Wanhua Dist."
"A","臺北市","Taipei City",110,"信義區","Xinyi Dist."
"A","臺北市","Taipei City",111,"士林區","Shilin Dist."
"A","臺北市","Taipei City",112,"北投區","Beitou Dist."
"A","臺北市","Taipei City",114,"內湖區","Neihu Dist."
"A","臺北市","Taipei City",115,"南港區","Nangang Dist."
"A","臺北市","Taipei City",116,"文山區","Wenshan Dist."
"B","臺中市","Taichung City",400,"中區","Central Dist."
"B","臺中市","Taichung City",401,"東區","East Dist."
"B","臺中市","Taichung City",402,"南區","South Dist."
"B","臺中市","Taichung City",403,"西區","West Dist."
"B","臺中市","Taichung City",404,"北區","North Dist."
"B","臺中市","Taichung City",406,"北屯區","Beitun Dist."
"B","臺中市","Taichung City",407,"西屯區","Xitun Dist."
"B","臺中市","Taichung City",408,"南屯區","Nantun Dist."
"B","臺中市","Taichung City",411,"太平區","Taiping Dist."
"B","臺中市","Taichung City",412,"大里區","Dali Dist."
"B","臺中市","Taichung City",413,"霧峰區","Wufeng Dist."
"B","臺中市","Taichung City",414,"烏日區","Wuri Dist."
"B","臺中市","Taichung City",420,"豐原區","Fengyuan Dist."
"B","臺中市","Taichung City",421,"后里區","Houli Dist."
"B","臺中市","Taichung City",422,"石岡區","Shigang Dist."
"B","臺中市","Taichung City",423,"東勢區","Dongshi Dist."
"B","臺中市","Taichung City",424,"和平區","Heping Dist."
"B","臺中市","Taichung City",426,"新社區","Xinshe Dist."
"B","臺中市","Taichung City",427,"潭子區","Tanzi Dist."
"B","臺中市","Taichung City",428,"大雅區","Daya Dist."
"B","臺中市","Taichung City",429,"神岡區","Shengang Dist."
"B","臺中市","Taichung City",432,"大肚區","Dadu Dist."
"B","臺中市","Taichung City",433,"沙鹿區","Shalu Dist."
"B","臺中市","Taichung City",434,"龍井區","Longjing Dist."
"B","臺中市","Taichung City",435,"梧棲區","Wuqi Dist."
"B","臺中市","Taichung City",436,"清水區","Qingshui Dist."
"B","臺中市","Taichung City",437,"大甲區","Dajia Dist."
"B","臺中市","Taichung City",438,"外埔區","Waipu Dist."
"B","臺中市","Taichung City",439,"大安區","Daan Dist."
"C","基隆市","Keelung City",200,"仁愛區","Renai Dist."
"C","基隆市","Keelung City",201,"信義區","Xinyi Dist."
"C","基隆市","Keelung City",202,"中正區","Zhongzheng Dist."
"C","基隆市","Keelung City",203,"中山區","Zhongshan Dist."
"C","基隆市","Keelung City",204,"安樂區","Anle Dist."
"C","基隆市","Keelung City",205,"暖暖區","Nuannuan Dist."
"C","基隆市","Keelung City",206,"七堵區","Qidu Dist."
"D","臺南市","Tainan City",700,"中西區","West Central Dist."
"D","臺南市","Tainan City",701,"東區","East Dist."
"D","臺南市","Tainan City",702,"南區","South Dist."
"D","臺南市","Tainan City",704,"北區","North Dist."
"D","臺南市","Tainan City",708,"安平區","Anping Dist."
"D","臺南市","Tainan City",709,"安南區","Annan Dist."
"D","臺南市","Tainan City",710,"永康區","Yongkang Dist."
"D","臺南市","Tainan City",711,"歸仁區","Guiren Dist."
"D","臺南市","Tainan City",712,"新化區","Xinhua Dist."
"D","臺南市","Tainan City",713,"左鎮區","Zuozhen Dist."
"D","臺南市","Tainan City",714,"玉井區","Yujing Dist."
"D","臺南市","Tainan City",715,"楠西區","Nanxi Dist."
"D","臺南市","Tainan City",716,"南化區","Nanhua Dist."
"D","臺南市","Tainan City",717,"仁德區","Rende Dist."
"D","臺南市","Tainan City",718,"關廟區","Guanmiao Dist."
"D","臺南市","Tainan City",719,"龍崎區","Longqi Dist."
"D","臺南市","Tainan City",720,"官田區","Guantian Dist."
"D","臺南市","Tainan City",721,"麻豆區","Madou Dist."
"D","臺南市","Tainan City",722,"佳里區","Jiali Dist."
"D","臺南市","Tainan City",723,"西港區","Xigang Dist."
"D","臺南市","Tainan City",724,"七股區","Qigu Dist."
"D","臺南市","Tainan City",725,"將軍區","Jiangjun Dist."
"D","臺南市","Tainan City",726,"學甲區","Xuejia Dist."
"D","臺南市","Tainan City",727,"北門區","Beimen Dist."
"D","臺南市","Tainan City",730,"新營區","Xinying Dist."
"D","臺南市","Tainan City",731,"後壁區","Houbi Dist."
"D","臺南市","Tainan City",732,"白河區","Baihe Dist."
"D","臺南市","Tainan City",733,"東山區","Dongshan Dist."
"D","臺南市","Tainan City",734,"六甲區","Liujia Dist."
"D","臺南市","Tainan City",735,"下營區","Xiaying Dist."
"D","臺南市","Tainan City",736,"柳營區","Liuying Dist."
"D","臺南市","Tainan City",737,"鹽水區","Yanshui Dist."
"D","臺南市","Tainan City",741,"善化區","Shanhua Dist."
"D","臺南市","Tainan City",742,"大內區","Danei Dist."
"D","臺南市","Tainan City",743,"山上區","Shanshang Dist."
"D","臺南市","Tainan City",744,"新市區","Xinshi Dist."
"D","臺南市","Tainan City",745,"安定區","Anding Dist."
"E","高雄市","Kaohsiung City",800,"新興區","Xinxing Dist."
"E","高雄市","Kaohsiung City",801,"前金區","Qianjin Dist."
"E","高雄市","Kaohsiung City",802,"苓雅區","Lingya Dist."
"E","高雄市","Kaohsiung City",803,"鹽埕區","Yancheng Dist."
"E","高雄市","Kaohsiung City",804,"鼓山區","Gushan Dist."
"E","高雄市","Kaohsiung City",805,"旗津區","Qijin Dist."
"E","高雄市","Kaohsiung City",806,"前鎮區","Qianzhen Dist."
"E","高雄市","Kaohsiung City",807,"三民區","Sanmin Dist."
"E","高雄市","Kaohsiung City",811,"楠梓區","Nanzi Dist."
"E","高雄市","Kaohsiung City",812,"小港區","Xiaogang Dist."
"E","高雄市","Kaohsiung City",813,"左營區","Zuoying Dist."
"E","高雄市","Kaohsiung City",814,"仁武區","Renwu Dist."
"E","高雄市","Kaohsiung City",815,"大社區","Dashe Dist."
"E","高雄市","Nanhai Islands",817,"東沙群島","Dongsha Islands"
"E","高雄市","Nanhai Islands",819,"南沙群島","Nansha Islands"
"E","高雄市","Kaohsiung City",820,"岡山區","Gangshan Dist."
"E","高雄市","Kaohsiung City",821,"路竹區","Luzhu Dist."
"E","高雄市","Kaohsiung City",822,"阿蓮區","Alian Dist."
"E","高雄市","Kaohsiung City",823,"田寮區","Tianliao Dist."
"E","高雄市","Kaohsiung City",824,"燕巢區","Yanchao Dist."
"E","高雄市","Kaohsiung City",825,"橋頭區","Qiaotou Dist."
"E","高雄市","Kaohsiung City",826,"梓官區","Ziguan Dist."
"E","高雄市","Kaohsiung City",827,"彌陀區","Mituo Dist."
"E","高雄市","Kaohsiung City",828,"永安區","Yongan Dist."
"E","高雄市","Kaohsiung City",829,"湖內區","Hunei Dist."
"E","高雄市","Kaohsiung City",830,"鳳山區","Fengshan Dist."
"E","高雄市","Kaohsiung City",831,"大寮區","Daliao Dist."
"E","高雄市","Kaohsiung City",832,"林園區","Linyuan Dist."
"E","高雄市","Kaohsiung City",833,"鳥松區","Niaosong Dist."
"E","高雄市","Kaohsiung City",840,"大樹區","Dashu Dist."
"E","高雄市","Kaohsiung City",842,"旗山區","Qishan Dist."
"E","高雄市","Kaohsiung City",843,"美濃區","Meinong Dist."
"E","高雄市","Kaohsiung City",844,"六龜區","Liugui Dist."
"E","高雄市","Kaohsiung City",845,"內門區","Neimen Dist."
"E","高雄市","Kaohsiung City",846,"杉林區","Shanlin Dist."
"E","高雄市","Kaohsiung City",847,"甲仙區","Jiaxian Dist."
"E","高雄市","Kaohsiung City",848,"桃源區","Taoyuan Dist."
"E","高雄市","Kaohsiung City",849,"那瑪夏區","Namaxia Dist."
"E","高雄市","Kaohsiung City",851,"茂林區","Maolin Dist."
"E","高雄市","Kaohsiung City",852,"茄萣區","Qieding Dist."
"F","新北市","New Taipei City",207,"萬里區","Wanli Dist."
"F","新北市","New Taipei City",208,"金山區","Jinshan Dist."
"F","新北市","New Taipei City",220,"板橋區","Banqiao Dist."
"F","新北市","New Taipei City",221,"汐止區","Xizhi Dist."
"F","新北市","New Taipei City",222,"深坑區","Shenkeng Dist."
"F","新北市","New Taipei City",223,"石碇區","Shiding Dist."
"F","新北市","New Taipei City",224,"瑞芳區","Ruifang Dist."
"F","新北市","New Taipei City",226,"平溪區","Pingxi Dist."
"F","新北市","New Taipei City",227,"雙溪區","Shuangxi Dist."
"F","新北市","New Taipei City",228,"貢寮區","Gongliao Dist."
"F","新北市","New Taipei City",231,"新店區","Xindian Dist."
"F","新北市","New Taipei City",232,"坪林區","Pinglin Dist."
"F","新北市","New Taipei City",233,"烏來區","Wulai Dist."
"F","新北市","New Taipei City",234,"永和區","Yonghe Dist."
"F","新北市","New Taipei City",235,"中和區","Zhonghe Dist."
"F","新北市","New Taipei City",236,"土城區","Tucheng Dist."
"F","新北市","New Taipei City",237,"三峽區","Sanxia Dist."
"F","新北市","New Taipei City",238,"樹林區","Shulin Dist."
"F","新北市","New Taipei City",239,"鶯歌區","Yingge Dist."
"F","新北市","New Taipei City",241,"三重區","Sanchong Dist."
"F","新北市","New Taipei City",242,"新莊區","Xinzhuang Dist."
"F","新北市","New Taipei City",243,"泰山區","Taishan Dist."
"F","新北市","New Taipei City",244,"林口區","Linkou Dist."
"F","新北市","New Taipei City",247,"蘆洲區","Luzhou Dist."
"F","新北市","New Taipei City",248,"五股區","Wugu Dist."
"F","新北市","New Taipei City",249,"八里區","Bali Dist."
"F","新北市","New Taipei City",251,"淡水區","Tamsui Dist."
"F","新北市","New Taipei City",252,"三芝區","Sanzhi Dist."
"F","新北市","New Taipei City",253,"石門區","Shimen Dist."
"G","宜蘭縣","Yilan County",260,"宜蘭市","Yilan City"
"G","宜蘭縣","Yilan County",261,"頭城鎮","Toucheng Township"
"G","宜蘭縣","Yilan County",262,"礁溪鄉","Jiaoxi Township"
"G","宜蘭縣","Yilan County",263,"壯圍鄉","Zhuangwei Township"
"G","宜蘭縣","Yilan County",264,"員山鄉","Yuanshan Township"
"G","宜蘭縣","Yilan County",265,"羅東鎮","Luodong Township"
"G","宜蘭縣","Yilan County",266,"三星鄉","Sanxing Township"
"G","宜蘭縣","Yilan County",267,"大同鄉","Datong Township"
"G","宜蘭縣","Yilan County",268,"五結鄉","Wujie Township"
"G","宜蘭縣","Yilan County",269,"冬山鄉","Dongshan Township"
"G","宜蘭縣","Yilan County",270,"蘇澳鎮","Suao Township"
"G","宜蘭縣","Yilan County",272,"南澳鄉","Nanao Township"
"G","宜蘭縣","Yilan County",290,"釣魚台","Diaoyutai"
"H","桃園市","Taoyuan City",320,"中壢區","Zhongli Dist."
"H","桃園市","Taoyuan City",324,"平鎮區","Pingzhen Dist."
"H","桃園市","Taoyuan City",325,"龍潭區","Longtan Dist."
"H","桃園市","Taoyuan City",326,"楊梅區","Yangmei Dist."
"H","桃園市","Taoyuan City",327,"新屋區","Xinwu Dist."
"H","桃園市","Taoyuan City",328,"觀音區","Guanyin Dist."
"H","桃園市","Taoyuan City",330,"桃園區","Taoyuan Dist."
"H","桃園市","Taoyuan City",333,"龜山區","Guishan Dist."
"H","桃園市","Taoyuan City",334,"八德區","Bade Dist."
"H","桃園市","Taoyuan City",335,"大溪區","Daxi Dist."
"H","桃園市","Taoyuan City",336,"復興區","Fuxing Dist."
"H","桃園市","Taoyuan City",337,"大園區","Dayuan Dist."
"H","桃園市","Taoyuan City",338,"蘆竹區","Luzhu Dist."
"I","嘉義市","Chiayi City",600,"東區","East Dist."
"I","嘉義市","Chiayi City",601,"西區","West Dist."
"J","新竹市","Hsinchu City",300,"東區","East Dist."
"J","新竹市","Hsinchu City",301,"北區","North Dist."
"J","新竹縣","Hsinchu County",302,"竹北市","Zhubei City"
"J","新竹縣","Hsinchu County",303,"湖口鄉","Hukou Township"
"J","新竹縣","Hsinchu County",304,"新豐鄉","Xinfeng Township"
"J","新竹縣","Hsinchu County",305,"新埔鎮","Xinpu Township"
"J","新竹縣","Hsinchu County",306,"關西鎮","Guanxi Township"
"J","新竹縣","Hsinchu County",307,"芎林鄉","Qionglin Township"
"J","新竹縣","Hsinchu County",308,"寶山鄉","Baoshan Township"
"J","新竹市","Hsinchu City",309,"香山區","Xiangshan Dist."
"J","新竹縣","Hsinchu County",310,"竹東鎮","Zhudong Township"
"J","新竹縣","Hsinchu County",311,"五峰鄉","Wufeng Township"
"J","新竹縣","Hsinchu County",312,"橫山鄉","Hengshan Township"
"J","新竹縣","Hsinchu County",313,"尖石鄉","Jianshi Township"
"J","新竹縣","Hsinchu County",314,"北埔鄉","Beipu Township"
"J","新竹縣","Hsinchu County",315,"峨眉鄉","Emei Township"
"K","苗栗縣","Miaoli County",350,"竹南鎮","Zhunan Township"
"K","苗栗縣","Miaoli County",351,"頭份市","Toufen City"
"K","苗栗縣","Miaoli County",352,"三灣鄉","Sanwan Township"
"K","苗栗縣","Miaoli County",353,"南庄鄉","Nanzhuang Township"
"K","苗栗縣","Miaoli County",354,"獅潭鄉","Shitan Township"
"K","苗栗縣","Miaoli County",356,"後龍鎮","Houlong Township"
"K","苗栗縣","Miaoli County",357,"通霄鎮","Tongxiao Township"
"K","苗栗縣","Miaoli County",358,"苑裡鎮","Yuanli Township"
"K","苗栗縣","Miaoli County",360,"苗栗市","Miaoli City"
"K","苗栗縣","Miaoli County",361,"造橋鄉","Zaoqiao Township"
"K","苗栗縣","Miaoli County",362,"頭屋鄉","Touwu Township"
"K","苗栗縣","Miaoli County",363,"公館鄉","Gongguan Township"
"K","苗栗縣","Miaoli County",364,"大湖鄉","Dahu Township"
"K","苗栗縣","Miaoli County",365,"泰安鄉","Taian Township"
"K","苗栗縣","Miaoli County",366,"銅鑼鄉","Tongluo Township"
"K","苗栗縣","Miaoli County",367,"三義鄉","Sanyi Township"
"K","苗栗縣","Miaoli County",368,"西湖鄉","Xihu Township"
"K","苗栗縣","Miaoli County",369,"卓蘭鎮","Zhuolan Township"
"M","南投縣","Nantou County",540,"南投市","Nantou City"
"M","南投縣","Nantou County",541,"中寮鄉","Zhongliao Township"
"M","南投縣","Nantou County",542,"草屯鎮","Caotun Township"
"M","南投縣","Nantou County",544,"國姓鄉","Guoxing Township"
"M","南投縣","Nantou County",545,"埔里鎮","Puli Township"
"M","南投縣","Nantou County",546,"仁愛鄉","Renai Township"
"M","南投縣","Nantou County",551,"名間鄉","Mingjian Township"
"M","南投縣","Nantou County",552,"集集鎮","Jiji Township"
"M","南投縣","Nantou County",553,"水里鄉","Shuili Township"
"M","南投縣","Nantou County",555,"魚池鄉","Yuchi Township"
"M","南投縣","Nantou County",556,"信義鄉","Xinyi Township"
"M","南投縣","Nantou County",557,"竹山鎮","Zhushan Township"
"M","南投縣","Nantou County",558,"鹿谷鄉","Lugu Township"
"N","彰化縣","Changhua County",500,"彰化市","Changhua City"
"N","彰化縣","Changhua County",502,"芬園鄉","Fenyuan Township"
"N","彰化縣","Changhua County",503,"花壇鄉","Huatan Township"
"N","彰化縣","Changhua County",504,"秀水鄉","Xiushui Township"
"N","彰化縣","Changhua County",505,"鹿港鎮","Lukang Township"
"N","彰化縣","Changhua County",506,"福興鄉","Fuxing Township"
